Name,Number,Size,POINT_Y,POINT_X,GettyLat,GettyLon
Veii,1,185,4679125.552,690180.8429,42.0333,12.4
Cerveteri,2,160,4675418.613,673482.9193,42,12.1
Vetulonia,3,100,4770040.18,610403.7298,42.85,10.9667
Populonia,4,150,4784879.069,583497.8089,42.9833,10.4833
Volterra,5,100,4831265.9,603908.2376,43.4,10.85
Chiusi,6,50,4788597.14,665133.9575,43.0167,11.95
Bisenzio,7,35,4877652.732,619676.6434,43.8167,11.1333
Acquarossa,8,30,4729219.323,675336.3888,42.4833,12.1333
Perugia,9,32,4801576.992,688327.3734,43.1333,12.3667
Gravisca,10,24,4697682.511,652148.5389,42.2,11.7167
Gubbio,11,20,4825699.926,700383.2742,43.35,12.5833
Assisi,12,20,4794163.114,702242.3097,43.0667,12.6167
Citta di Castello,13,20,4836831.875,680902.3634,43.45,12.2333
Tarquinia,14,150,4703248.486,654002.0084,42.25,11.75
Vulci,15,126,4721805.445,644723.5289,42.4167,11.5833
Roselle,16,40,4764474.206,619676.6434,42.8,11.1333
Murlo,17,10,4803436.028,633591.5798,43.15,11.3833
Pisa,18,20,4866520.783,577931.8344,43.7167,10.3833
Orvieto,19,85,4755201.292,674412.437,42.7167,12.1167
Arezzo,20,32,4833124.936,661421.4525,43.4167,11.8833
Cortona,21,30,4816427.012,666987.427,43.2667,11.9833
Civita Castellano,22,26,4706955.425,691110.3607,42.2833,12.4167
Fiesole,23,30,4875793.697,628025.6052,43.8,11.2833
Todi,24,20,4762615.17,690180.8429,42.7833,12.4
Spoleto,25,20,4757049.196,708732.2361,42.7333,12.7333
